Dataset,Seed,Method,OS-HM
5G-NIDD,47,BiC,0.3477
5G-NIDD,48,BiC,0.3047
5G-NIDD,49,BiC,0.2768
5G-NIDD,50,BiC,0.2817
5G-NIDD,51,BiC,0.3278
ToN-IoT,42,BiC,0.314
ToN-IoT,43,BiC,0.2489
ToN-IoT,44,BiC,0.0828
ToN-IoT,45,BiC,0.2844
ToN-IoT,46,BiC,0.2542
ToN-IoT,47,BiC,0.1751
ToN-IoT,48,BiC,0.0311
ToN-IoT,49,BiC,0.2452
ToN-IoT,50,BiC,0.0713
ToN-IoT,51,BiC,0.0416
N-BaIoT,42,BiC,0.2104
N-BaIoT,43,BiC,0.1024
N-BaIoT,44,BiC,0.1053
N-BaIoT,45,BiC,0.1125
N-BaIoT,46,BiC,0.3458
N-BaIoT,47,BiC,0.2158
N-BaIoT,48,BiC,0.1797
N-BaIoT,49,BiC,0.1135
N-BaIoT,50,BiC,0.2373
N-BaIoT,51,BiC,0.1596
CICIDS2018,42,BiC,0.1792
CICIDS2018,43,BiC,0.1064
CICIDS2018,44,BiC,0.1711
CICIDS2018,45,BiC,0.1864
CICIDS2018,46,BiC,0.1652
CICIDS2018,47,BiC,0.1124
CICIDS2018,48,BiC,0.1324
CICIDS2018,49,BiC,0.1617
CICIDS2018,50,BiC,0.1754
CICIDS2018,51,BiC,0.1115
Edge-IIoTset,42,BiC,0.1666
Edge-IIoTset,43,BiC,0.2556
Edge-IIoTset,44,BiC,0.1191
Edge-IIoTset,45,BiC,0.1122
Edge-IIoTset,46,BiC,0.1655
Edge-IIoTset,47,BiC,0.0574
Edge-IIoTset,48,BiC,0.1094
Edge-IIoTset,49,BiC,0.062
Edge-IIoTset,50,BiC,0.0775
Edge-IIoTset,51,BiC,0.1
CICIoT2023 (7-category),42,BiC,0.2543
CICIoT2023 (7-category),43,BiC,0.1925
CICIoT2023 (7-category),44,BiC,0.1502
CICIoT2023 (7-category),45,BiC,0.1092
CICIoT2023 (7-category),46,BiC,0.2775
CICIoT2023 (7-category),47,BiC,0.1547
CICIoT2023 (7-category),48,BiC,0.1118
CICIoT2023 (7-category),49,BiC,0.1633
CICIoT2023 (7-category),50,BiC,0.1056
CICIoT2023 (7-category),51,BiC,0.0572
NSL-KDD,42,BiC,0.2156
NSL-KDD,43,BiC,0.1255
NSL-KDD,44,BiC,0.1182
NSL-KDD,45,BiC,0.0589
NSL-KDD,46,BiC,0.2444
NSL-KDD,47,BiC,0.0271
NSL-KDD,48,BiC,0.0396
NSL-KDD,49,BiC,0.0559
NSL-KDD,50,BiC,0.0569
NSL-KDD,51,BiC,0.102
5G-NIDD,42,RFS,0.139
5G-NIDD,43,RFS,0.0002
5G-NIDD,44,RFS,0.301
5G-NIDD,45,RFS,0.1558
5G-NIDD,46,RFS,0.001
5G-NIDD,47,RFS,0.16
5G-NIDD,48,RFS,0.2088
5G-NIDD,49,RFS,0.0206
5G-NIDD,50,RFS,0.2528
5G-NIDD,51,RFS,0.4561
ToN-IoT,42,RFS,0.031
ToN-IoT,43,RFS,0.0616
ToN-IoT,44,RFS,0.0653
ToN-IoT,45,RFS,0.0845
ToN-IoT,46,RFS,0.0491
ToN-IoT,47,RFS,0.0037
ToN-IoT,48,RFS,0.0001
ToN-IoT,49,RFS,0.0073
ToN-IoT,50,RFS,0.0
ToN-IoT,51,RFS,0.0071
N-BaIoT,42,RFS,0.2296
N-BaIoT,43,RFS,0.2857
N-BaIoT,44,RFS,0.0383
N-BaIoT,45,RFS,0.0002
N-BaIoT,46,RFS,0.2446
N-BaIoT,47,RFS,0.2572
N-BaIoT,48,RFS,0.2276
N-BaIoT,49,RFS,0.1462
N-BaIoT,50,RFS,0.4961
N-BaIoT,51,RFS,0.4345
CICIDS2018,42,RFS,0.0012
CICIDS2018,43,RFS,0.0
CICIDS2018,44,RFS,0.0583
CICIDS2018,45,RFS,0.008
CICIDS2018,46,RFS,0.0029
CICIDS2018,47,RFS,0.0161
CICIDS2018,48,RFS,0.0
CICIDS2018,49,RFS,0.069
